title,price,rating,reviews
"SAMSUNG Galaxy M04 (Dark Blue, 128 GB)","₹9,999",4.1,"12,334 Ratings & 683 Reviews"
"SAMSUNG Galaxy A23 5G (Silver, 128 GB)","₹19,499",4.1,"2,617 Ratings & 174 Reviews"
"SAMSUNG Galaxy M14 5G (ICY Silver, 128 GB)","₹13,490",4.2,"6,519 Ratings & 348 Reviews"
"SAMSUNG Galaxy A54 5G (Awesome Lime, 256 GB)","₹35,499",4.3,"3,380 Ratings & 317 Reviews"
"SAMSUNG Galaxy A14 5G (Black, 128 GB)","₹14,499",4.1,"8,406 Ratings & 552 Reviews"
"SAMSUNG Galaxy S24 Ultra 5G (Titanium Gray, 256 GB)","₹1,29,999",4.6,"1,916 Ratings & 244 Reviews"
"SAMSUNG Galaxy A55 5G (Awesome Navy, 256 GB)","₹45,999",4.5,139 Ratings & 12 Reviews
"SAMSUNG Galaxy A03 Core (Bronze, 32 GB)","₹8,999",4.1,"4,771 Ratings & 335 Reviews"
SAMSUNG Metro 313,"₹2,499",3.3,"5,104 Ratings & 367 Reviews"
SAMSUNG METRO 312,"₹2,499",2.8,814 Ratings & 47 Reviews
"Samsung Galaxy S21 FE 5G with Snapdragon 888 (Graphite, 128 GB)","₹27,999",4.3,"1,44,796 Ratings & 13,829 Reviews"
SAMSUNG METRO 312,"₹2,799",2.8,814 Ratings & 47 Reviews
"SAMSUNG Galaxy A54 5G (Awesome Graphite, 256 GB)","₹35,499",4.3,"3,380 Ratings & 317 Reviews"
SAMSUNG Galaxy Book4 Intel Core 5 120U - (8 GB/512 GB SSD/Windows...,"₹64,990",4.2,63 Ratings & 7 Reviews
SAMSUNG Galaxy Book4 Pro Evo Intel Core Ultra 5 125H - (16 GB/512...,"₹1,23,990",3.6,10 Ratings & 0 Reviews
"SAMSUNG Galaxy A55 5G (Awesome Iceblue, 256 GB)","₹48,999",4.3,120 Ratings & 10 Reviews
"SAMSUNG Galaxy M04 (Light Green, 64 GB)","₹8,999",4.1,"12,334 Ratings & 683 Reviews"
"SAMSUNG Galaxy M55 5G (Denim Black / Black, 256 GB)","₹24,799",3.5,84 Ratings & 7 Reviews
"SAMSUNG Galaxy Z Flip5 (Lavender, 512 GB)","₹1,09,999",4.4,706 Ratings & 44 Reviews
SAMSUNG Galaxy Book4 Intel Core 7 150U - (16 GB/512 GB SSD/Window...,"₹79,999",4.6,25 Ratings & 2 Reviews
SAMSUNG Galaxy Book4 Pro Evo Intel Core Ultra 7 155H - (16 GB/512...,"₹1,44,990",4.7,25 Ratings & 2 Reviews
"SAMSUNG Galaxy M55 5G (Denim Black / Black, 128 GB)","₹23,759",3.5,84 Ratings & 7 Reviews
"SAMSUNG Galaxy A25 5G (Blue, 128 GB)","₹21,490",4.3,61 Ratings & 6 Reviews
SAMSUNG Galaxy Book4 Intel Core 5 120U - (16 GB/512 GB SSD/Window...,"₹68,999",4.2,63 Ratings & 7 Reviews
SAMSUNG Galaxy Book4 Intel Core 5 120U - (8 GB/512 GB SSD/Windows...,"₹64,990",4.2,63 Ratings & 7 Reviews
"SAMSUNG galaxy M15 5G (Stone Grey, 128 GB)","₹17,900",4.1,14 Ratings & 1 Reviews
"SAMSUNG galaxy M15 5G (Celestrial Blue, 128 GB)","₹17,900",4.1,14 Ratings & 1 Reviews
"SAMSUNG galaxy M15 5G (Blue Topaz, 128 GB)","₹17,890",4.1,14 Ratings & 1 Reviews
"SAMSUNG M15 (Celestial Blue, 128 GB)","₹12,899",4.3,77 Ratings & 7 Reviews
"SAMSUNG Galaxy F15 5G (Groovy Violet, 128 GB)","₹15,999",4.2,"2,782 Ratings & 124 Reviews"
"SAMSUNG Galaxy A14 5G (Light Green, 128 GB)","₹12,999",4.1,"4,132 Ratings & 265 Reviews"
"SAMSUNG Galaxy M15 5G (Blue Topaz, 128 GB)","₹13,999",4.1,617 Ratings & 29 Reviews
"SAMSUNG Galaxy F55 5G (Apricot Crush, 128 GB)","₹27,990",3.7,571 Ratings & 48 Reviews
"SAMSUNG Galaxy S24 5G (Amber Yellow, 512 GB)","₹77,999",4.5,"1,063 Ratings & 135 Reviews"
"SAMSUNG Galaxy Z Flip6 5G (Silver Shadow, 256 GB)","₹1,09,999",4.6,16 Ratings & 1 Reviews
"SAMSUNG Galaxy S24 Ultra 5G (Titanium Gray, 512 GB)","₹1,39,999",4.6,"1,916 Ratings & 244 Reviews"
"SAMSUNG Galaxy M14 5G (Berry Blue, 128 GB)","₹13,790",4.2,"24,698 Ratings & 1,543 Reviews"
"SAMSUNG Galaxy S24 5G (Marble Gray, 128 GB)","₹62,999",4.5,"1,063 Ratings & 135 Reviews"
"SAMSUNG Galaxy A15 5G (Blue, 128 GB)","₹17,969",4.2,126 Ratings & 5 Reviews
"SAMSUNG Galaxy Z Fold6 5G (Silver Shadow, 512 GB)","₹1,76,999",3.9,27 Ratings & 2 Reviews
"SAMSUNG Galaxy M55 5G (Light Green, 256 GB)","₹31,390",3.9,"(3,588)"
"SAMSUNG Galaxy A14 (Silver, 64 GB)","₹15,500",3.9,150 Ratings & 13 Reviews
"SAMSUNG Galaxy Z Flip6 5G (Blue, 256 GB)","₹1,09,999",4.6,16 Ratings & 1 Reviews
